---STUDENT STATUS REPORT---
00500 Juan Dela Cruz      ALUMNI
12045 Maria Clara         ACTIVE
08990 Jose Rizal          ALUMNI
25000 Andres Bonifacio    ACTIVE
10001 Apolinario Mabini   ACTIVE
04500 Melchora Aquino     ALUMNI
90001 Emilio Aguinaldo    ACTIVE
00010 Lapu Lapu           ALUMNI
20202 Gabriela Silang     ACTIVE
03000 Antonio Luna        ALUMNI
15000 Marcelo Del Pilar   ACTIVE
00999 Gregorio Del Pilar  ALUMNI
10000 Equal Check Low     ACTIVE
10001 Equal Check High    ACTIVE
40400 Severino Reyes      ACTIVE
07000 Francisco Balagtas  ALUMNI
ACTIVE:   9 | ALUMNI:   7 | TOTAL:  16
